seed,best_epoch,energy_mae
0,41,0.6673654913902283
1,46,0.6665782928466797
2,49,0.6681263446807861
3,39,0.6665352582931519
4,49,0.6727111339569092
5,26,0.6678946018218994
6,50,0.6723646521568298
7,50,0.6676908135414124
8,44,0.6754205822944641
9,46,0.6724798083305359
10,45,0.6671542525291443
11,50,0.6629236340522766
12,48,0.6631116271018982
13,40,0.6702519059181213
14,49,0.6735833287239075
15,49,0.6731894612312317
16,49,0.6744261980056763
17,46,0.6710686087608337
18,50,0.6694288849830627
19,49,0.6706568002700806
20,50,0.6683792471885681
21,45,0.6690526008605957
22,50,0.6690925359725952
23,47,0.6745256185531616
24,41,0.6724133491516113
